new_la_code,la_name,region_name,fairness_combined,Local authority,positive_proportion,inspection_norm,gender_equity_index_refined,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
E06000050,Cheshire West and Chester,North West,0.5099819998270247,Cheshire West and Chester,0.8222222222222222,0.5321637426900584,0.5177456098290866,0.5099819998270247,0.5321637426900584,3,52.47698284023805
E06000051,Shropshire,West Midlands,0.3448173890530381,Shropshire,0.6944444444444444,0.1959064327485379,0.2926985543464631,0.3448173890530381,0.1959064327485379,3,24.55434181833713
E06000052,Cornwall,South West,0.5667098345956282,Cornwall,0.7064220183486238,0.2274263640753259,0.4479606199135224,0.5667098345956282,0.2274263640753259,3,34.052085424876005
E06000053,Isles of Scilly,South West,0.1777054429423187,Isles of Scilly,1.0,1.0,0.4655085379125071,0.1777054429423187,1.0,3,72.59018143141063
E06000054,Wiltshire,South West,0.6208475803730127,Wiltshire,0.7704081632653061,0.395810955961332,0.5420847618289244,0.6208475803730127,0.395810955961332,3,47.08231640985588
E06000055,Bedford,East of England,0.4421029899967212,Bedford,0.7727272727272727,0.401913875598086,0.4280367999571989,0.4421029899967212,0.401913875598086,3,41.531024706429776
E06000056,Central Bedfordshire,East of England,0.6879685675089704,Central Bedfordshire,0.7560975609756098,0.3581514762516046,0.5725325855688924,0.6879685675089704,0.3581514762516046,3,46.809050667072654
E06000057,Northumberland,North East,0.5424049895378606,Northumberland,0.8321167883211679,0.5582020745293891,0.5479339692848956,0.5424049895378606,0.5582020745293891,3,55.2936379532213
E06000058,"Bournemouth, Christchurch and Poole",South West,0.6682668659018454,,,,,0.6682668659018454,,1,66.82668659018454
E06000059,Dorset,South West,0.5844229450035531,Dorset,0.7377049180327869,0.3097497842968077,0.4882873387561922,0.5844229450035531,0.3097497842968077,3,40.13075045323895
E06000060,Buckinghamshire,South East,0.6563265109122072,Buckinghamshire,0.748792270531401,0.338927027714213,0.5452366917929092,0.6563265109122072,0.338927027714213,3,44.47268554468777
E06000061,North Northamptonshire,East Midlands,0.5984942817240088,North Northamptonshire,0.8319327731092437,0.557717823971694,0.5842225215106986,0.5984942817240088,0.557717823971694,3,57.1309976555799
E06000062,West Northamptonshire,East Midlands,0.5963060489920852,West Northamptonshire,0.7914110429447853,0.4510816919599612,0.5454775240308418,0.5963060489920852,0.4510816919599612,3,49.94898109706692
E06000063,Cumberland,North West,0.4397579042395869,Cumberland,0.7770700636942676,0.4133422728796515,0.4305124332636095,0.4397579042395869,0.4133422728796515,3,42.21474833329633
E06000064,Westmorland and Furness,North West,0.5261018775268487,Westmorland and Furness,0.8222222222222222,0.5321637426900584,0.5282235303339721,0.5261018775268487,0.5321637426900584,3,53.014312096898855
E06000065,North Yorkshire,Yorkshire and The Humber,0.4647561634523437,North Yorkshire,0.7909407665505227,0.4498441225013755,0.4595369491195048,0.4647561634523437,0.4498441225013755,3,45.4814802818365
E06000066,Somerset,South West,0.5963743349886894,Somerset,0.7028301886792453,0.217974180734856,0.4639342809998478,0.5963743349886894,0.217974180734856,3,34.41075654861338
E08000001,Bolton,North West,0.6094452535375398,Bolton,0.7699115044247787,0.3945039590125756,0.5342158004538022,0.6094452535375398,0.3945039590125756,3,46.61510571875636
E08000002,Bury,North West,0.6753487757950274,Bury,0.7818181818181819,0.4258373205741628,0.5880197664677248,0.6753487757950274,0.4258373205741628,3,50.90078056477844
E08000003,Manchester,North West,0.5119873208356444,Manchester,0.802547770700637,0.4803888702648342,0.5009278631358608,0.5119873208356444,0.4803888702648342,3,49.09216871217709
E08000004,Oldham,North West,0.3736133274573248,Oldham,0.7441860465116279,0.3268053855569155,0.3572305477921815,0.3736133274573248,0.3268053855569155,3,34.2408032857052
E08000005,Rochdale,North West,0.6027324128415559,Rochdale,0.7714285714285715,0.3984962406015038,0.5312497525575377,0.6027324128415559,0.3984962406015038,3,46.65749646815212
E08000006,Salford,North West,0.6061013881627142,Salford,0.7951807228915663,0.461001902346227,0.5553165681269436,0.6061013881627142,0.461001902346227,3,50.93683976183895
E08000007,Stockport,North West,0.5139102172731442,Stockport,0.7821782178217822,0.4267847837415321,0.48341631553708,0.5139102172731442,0.4267847837415321,3,45.58265949187362
E08000008,Tameside,North West,0.3621129062521855,Tameside,0.796875,0.4654605263157895,0.3982845732744469,0.3621129062521855,0.4654605263157895,3,43.10113196279215
E08000009,Trafford,North West,0.6826957372644336,Trafford,0.8117647058823529,0.5046439628482973,0.6203776162187858,0.6826957372644336,0.5046439628482973,3,56.39945543203427
