la_name,fairness_combined,inspection_norm,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
Haringey,0.4212128104308838,0.6867167919799498,0.4212128104308838,0.6867167919799498,3,59.82154647969278
Harrow,0.287400581282121,0.4736842105263159,0.287400581282121,0.4736842105263159,3,41.15896674449176
Havering,0.5656248433064098,0.6240601503759398,0.5656248433064098,0.6240601503759398,3,60.45817146860964
Hillingdon,0.7548038230440318,0.4845360824742269,0.7548038230440318,0.4845360824742269,3,57.462532933082855
Hounslow,0.7430671066112248,0.543859649122807,0.7430671066112248,0.543859649122807,3,61.026213495227964
Islington,0.8069320770254744,0.7076023391812865,0.8069320770254744,0.7076023391812865,3,74.07122517960157
Kensington and Chelsea,0.8630211076827284,0.6345029239766083,0.8630211076827284,0.6345029239766083,3,71.06756518786484
Kingston upon Thames,0.59280599896093,0.6640537513997762,0.59280599896093,0.6640537513997762,3,64.03045005868275
Lambeth,0.5290010276419573,0.4865211810012838,0.5290010276419573,0.4865211810012838,3,50.06811298815082
Lewisham,0.5432417867981535,0.6537396121883657,0.5432417867981535,0.6537396121883657,3,61.69070037249617
Merton,0.7566733917927859,0.5034756703078452,0.7566733917927859,0.5034756703078452,3,58.787491080282535
Newham,0.4186523570495052,0.6038483305036786,0.4186523570495052,0.6038483305036786,3,54.21163393522874
Redbridge,0.6459529479813286,0.4665718349928875,0.6459529479813286,0.4665718349928875,3,52.636553932236794
Richmond upon Thames,0.5369269485788346,0.5693779904306219,0.5369269485788346,0.5693779904306219,3,55.85609764800261
Southwark,0.7064426987359669,0.6360582306830906,0.7064426987359669,0.6360582306830906,3,65.95197200340493
Sutton,0.7570913875596996,0.4258373205741628,0.7570913875596996,0.4258373205741628,3,53.62553429026751
Tower Hamlets,0.4301389539216961,0.7146480659480025,0.4301389539216961,0.7146480659480025,3,61.9811695272567
Waltham Forest,0.3369752615362797,0.688365650969529,0.3369752615362797,0.688365650969529,3,57.12355211584459
Wandsworth,0.6052451692160012,0.6288798920377866,0.6052451692160012,0.6288798920377866,3,62.10016510971915
Westminster,0.3287343476503115,0.6101364522417154,0.3287343476503115,0.6101364522417154,3,51.633575071124746
